datetime,open,high,low,close,volume,date,bb_bbm,bb_bbh,bb_bbl,bb_vm,bb_vh,bb_vl,rsi
1644550200000,44935.94,45200.0,44840.03,45199.0,9640.03,2022-02-11 03:30:00,44773.253500000086,45829.793654791436,43716.71334520874,8899.85532000001,17539.86591797809,259.84472202192774,57.344201983904725
1644552000000,45200.0,45246.77,44540.67,44557.08,14201.96,2022-02-11 04:00:00,44782.68050000009,45827.9121577557,43737.448842244485,8885.33337000001,17515.19372488676,255.47301511325713,48.37519292307904
1644553800000,44557.07,44770.54,44311.39,44355.73,10222.517,2022-02-11 04:30:00,44781.60700000009,45828.54494824705,43734.66905175313,8852.106280000009,17470.349738658413,233.86282134160683,45.94761418322646
1644555600000,44355.72,44579.91,44080.09,44168.64,13687.343,2022-02-11 05:00:00,44757.81850000009,45837.26122743241,43678.375772567764,8934.69254000001,17559.302619425496,310.08246057452203,43.75067036190924
1644557400000,44168.64,44217.7,43753.11,44077.47,16231.196000000002,2022-02-11 05:30:00,44730.31100000009,45848.95054784002,43611.67145216015,9025.742370000009,17678.793427028195,372.6913129718232,42.67973378701701
1644559200000,44077.85,44173.08,43784.19,44087.25,7765.882,2022-02-11 06:00:00,44688.42250000009,45837.099575278655,43539.74542472152,9015.31069000001,17669.24544254326,361.3759374567562,42.84136768664861
1644561000000,44087.25,44173.25,43645.0,43721.65,9423.236,2022-02-11 06:30:00,44633.71800000009,45854.85540348075,43412.580596519416,9021.14566000001,17675.156778019387,367.1345419806312,38.4737845856749
1644562800000,43721.66,44024.83,43570.0,43976.01,6851.76,2022-02-11 07:00:00,44595.84550000009,45848.82815051625,43342.862849483936,8981.96202000001,17636.836147463655,327.08789253636496,42.83992737338276
1644564600000,43976.02,44052.67,43739.51,43935.02,4834.345,2022-02-11 07:30:00,44552.71100000009,45834.00386080572,43271.418139194466,8815.38724000001,17387.79413987149,242.98034012852628,42.3187514266553
1644566400000,43935.02,44020.0,43603.7,43612.31,5452.883000000002,2022-02-11 08:00:00,44486.725000000086,45818.03601316548,43155.41398683471,8753.81678000001,17328.042042178276,179.59151782174374,38.36185711970961
1644568200000,43615.54,43670.0,43288.36,43471.29,11150.208,2022-02-11 08:30:00,44478.848500000095,45832.05295861174,43125.644041388456,8798.402160000009,17373.380492674467,223.42382732554688,36.74499578185376
1644570000000,43471.3,43545.32,42801.0,42876.94,16886.446,2022-02-11 09:00:00,44448.3590000001,45912.533242783866,42984.18475721632,8929.15119000001,17526.74591095257,331.55646904744566,30.844401652795273
1644571800000,42876.94,43046.09,42555.0,43012.98,14740.593,2022-02-11 09:30:00,44380.6180000001,45973.167988270296,42788.06801172991,9030.18473000001,17636.110053066084,424.2594069339357,33.47754702030271
1644573600000,43012.87,43739.89,42910.9,43387.49,16113.966,2022-02-11 10:00:00,44301.087500000096,45924.90361034954,42677.271389650654,9155.166040000013,17772.298862416355,538.0332175836647,40.22512130699001
